주,신호수,평균섹터강도,N1_평균수익률,N2_평균수익률,N3_평균수익률,N5_평균수익률,N7_평균수익률,N10_평균수익률,N15_평균수익률,N20_평균수익률,최고였던_보유일수
2023-20주,8,5.95,-1.896,-2.646,-0.586,0.257,-1.935,-2.065,1.88,5.967,20
2023-21주,12,3.467,-0.808,-1.228,-0.258,-1.465,-1.383,1.985,3.031,2.598,15
2023-22주,12,3.049,-0.392,-1.354,-1.337,-2.024,-1.932,-0.5,-1.228,2.034,20
2023-23주,10,0.626,-0.215,0.798,0.811,1.485,1.886,1.269,0.73,3.774,20
2023-24주,12,2.632,0.426,0.153,2.962,2.23,3.163,1.448,4.284,5.446,20
2023-25주,14,11.89,-1.486,-2.78,-3.27,-4.261,-4.794,-4.764,-3.961,-3.608,1
2023-26주,8,8.73,-1.774,0.23,0.888,0.244,0.919,-0.081,0.974,1.401,20
2023-27주,5,5.272,-1.508,-1.162,0.046,1.942,-1.271,3.317,17.09,6.621,15
2023-28주,19,10.143,2.567,3.975,3.225,1.984,7.408,12.069,11.445,8.749,10
2023-29주,20,4.107,-0.033,0.849,3.393,8.774,1.621,3.754,0.019,-1.385,5
2023-30주,25,16.338,-4.359,-5.251,-7.046,-7.389,-8.246,-8.191,-8.283,-8.495,1
2023-31주,27,7.627,-1.961,-2.87,-3.232,-1.168,-2.612,-4.097,-5.099,-5.431,5
2023-32주,10,13.981,-0.95,-2.854,-4.315,-3.581,-6.165,-7.199,-7.442,-7.442,1
2023-33주,3,8.957,0.724,-2.98,-5.324,-5.324,-5.324,-5.324,-5.324,-5.324,1
2023-35주,8,12.26,0.253,3.043,5.491,12.425,12.352,6.967,-0.516,-0.71,5
2023-36주,18,14.687,-0.209,-1.162,-0.267,-3.346,-5.188,-6.066,-6.542,-6.13,1
2023-37주,14,1.721,1.789,2.428,2.536,4.323,1.73,0.151,-1.391,-3.299,5
2023-38주,5,7.862,0.186,-2.125,-1.411,-0.984,-5.683,-5.683,-5.683,-5.683,1
2023-40주,3,11.15,-1.281,1.106,-0.412,0.736,0.558,-1.944,-2.847,-2.847,2
2023-41주,7,4.246,1.02,-1.295,-0.884,-2.583,-2.317,-4.015,-4.901,-4.901,1
2023-44주,5,-1.064,0.606,3.63,4.479,3.039,4.482,8.022,7.268,7.056,10
2023-45주,19,3.084,-4.389,-5.468,-6.522,-6.002,-4.689,-4.474,-5.174,-3.947,20
2023-46주,7,3.41,1.82,1.61,2.781,2.502,6.033,6.673,7.38,6.446,15
2023-47주,7,13.57,0.679,6.16,6.464,12.323,11.023,12.065,15.243,29.305,20
2023-48주,22,9.28,1.832,2.334,3.232,1.854,0.283,0.672,2.585,1.333,3
2023-49주,12,1.564,-0.122,0.479,-0.021,-0.683,-1.474,-0.473,0.691,1.55,20
2023-50주,13,5.332,-1.087,-0.938,-0.508,0.793,0.378,-0.713,-0.451,-1.402,5
2023-51주,11,2.786,2.115,2.182,2.268,1.149,-1.573,-1.59,-2.791,-3.39,3
2023-52주,13,7.498,0.438,0.167,-1.282,-2.244,-3.063,-0.53,-1.777,-2.908,1
2024-01주,13,3.382,0.448,-1.881,-1.999,-2.163,-1.555,0.329,-0.405,-1.663,1
2024-02주,8,8.929,1.1,3.487,2.069,2.15,-1.106,-1.072,7.085,11.175,20
2024-03주,13,3.092,-1.312,-1.758,-4.471,-4.889,-5.067,-5.653,-5.472,-4.781,1
2024-04주,7,6.603,-1.741,-1.059,-1.205,-2.049,-0.795,0.487,0.79,-0.336,15
2024-05주,32,4.236,1.562,1.535,3.638,4.434,5.272,8.067,8.409,7.435,15
2024-06주,7,-0.957,3.259,5.237,5.606,1.553,2.763,-0.184,-1.067,-0.762,3
2024-07주,10,-1.571,1.899,-0.373,-0.724,0.367,1.072,4.206,8.322,5.119,15
2024-08주,16,0.696,3.858,5.43,7.245,8.693,12.615,15.64,18.021,17.907,15
2024-09주,23,3.88,0.868,0.212,-0.677,1.48,1.335,1.341,1.428,4.051,20
2024-10주,22,12.526,1.932,3.352,2.512,2.292,3.471,5.529,8.452,12.379,20
2024-11주,23,10.849,0.726,1.624,2.481,4.042,4.48,5.173,5.369,9.146,20
2024-12주,15,11.497,0.241,1.032,2.126,2.903,3.797,4.084,3.787,0.918,10
2024-13주,8,9.165,0.141,3.487,3.002,3.35,1.984,3.095,4.309,2.16,15
2024-14주,14,10.03,-0.776,0.1,0.741,2.004,0.042,-0.679,-0.549,-1.653,5
2024-15주,11,9.055,-0.895,-3.886,-3.329,-4.047,-6.12,-5.224,-2.979,-3.258,1
2024-16주,6,15.697,-2.4,-2.039,-0.65,-1.963,-2.628,-3.034,-0.991,-2.056,3
2024-17주,8,13.014,1.039,-0.842,0.677,-1.505,-2.64,-3.23,-4.24,-4.24,1
2024-18주,13,10.511,-0.205,0.295,-0.522,-0.921,-1.799,-2.721,-4.139,-4.35,2
2024-19주,4,1.982,-0.54,-1.837,-0.764,-0.937,-5.385,-5.385,-5.385,-5.385,1
2024-20주,10,9.662,1.614,3.164,1.866,1.487,-0.09,0.036,-3.778,-3.778,2
2024-21주,5,15.114,-1.037,-3.782,-3.538,-3.377,-3.479,-4.152,-6.123,-6.123,1
2024-22주,12,7.982,-0.596,-0.546,-0.32,-2.266,0.258,-0.796,-0.49,-1.324,7
2024-23주,15,5.027,-1.152,-0.251,-1.112,-1.971,-3.053,-3.875,-3.489,-3.882,2
2024-24주,11,2.155,2.179,2.23,1.813,2.576,2.126,-1.239,-5.104,-5.199,5
2024-25주,13,2.751,0.444,1.425,2.421,-0.079,-1.081,-1.253,-0.614,-1.341,3
2024-26주,3,1.373,1.418,1.4,2.476,0.011,-2.82,-2.533,-0.093,1.917,3
2024-27주,14,0.518,0.798,2.308,2.794,1.187,2.134,-0.49,0.724,2.425,3
2024-28주,21,-1.713,-0.15,-2.0,-1.827,-4.373,-3.028,-4.728,-5.141,-5.45,1
2024-29주,8,3.116,-2.107,-0.05,-2.456,-3.493,-0.888,-1.146,-4.966,-4.966,2
2024-30주,13,9.688,-1.378,-2.716,-2.093,-2.988,-5.138,-5.543,-5.718,-5.954,1
2024-31주,6,12.495,-2.847,-4.151,-6.083,-8.484,-8.484,-8.484,-8.484,-8.484,1
2024-32주,6,19.382,2.258,3.029,3.386,9.721,9.715,9.428,8.573,4.1,5
