주,신호수,평균섹터강도,N1_평균수익률,N2_평균수익률,N3_평균수익률,N5_평균수익률,N7_평균수익률,N10_평균수익률,N15_평균수익률,N20_평균수익률,최고였던_보유일수
2021-03주,21,6.384,0.289,2.236,5.279,2.101,-1.066,1.869,3.686,2.23,3
2021-04주,7,10.523,-3.055,-5.86,-7.009,-7.009,-7.009,-7.009,-7.009,-7.009,1
2021-05주,13,2.648,1.4,-0.867,-1.582,-0.938,-2.961,-3.297,-5.32,-5.32,1
2021-07주,6,6.322,-1.463,-4.475,-3.168,-3.332,-3.891,-4.137,-5.269,-5.269,1
2021-08주,4,3.23,-1.227,-2.167,-0.795,1.505,0.852,-1.428,-0.758,-1.115,5
2021-09주,4,2.262,2.296,2.572,0.248,1.598,1.741,2.366,1.699,11.527,20
2021-10주,7,-3.17,0.731,1.539,3.306,3.056,1.498,0.084,-1.597,-1.366,3
2021-11주,6,-0.075,-0.116,-0.733,-1.841,-4.402,-2.837,-2.314,-1.265,-2.42,1
2021-12주,13,1.215,0.527,0.813,1.044,2.036,2.11,4.238,6.457,6.699,20
2021-13주,15,5.759,0.01,2.376,1.091,0.923,1.254,2.767,2.931,2.428,15
2021-14주,21,5.859,-0.052,0.152,1.84,2.432,3.01,3.433,3.339,0.116,10
2021-15주,22,4.039,0.36,1.573,3.144,4.636,3.578,2.308,-1.679,-1.541,5
2021-16주,17,5.244,-1.07,-0.498,-2.151,-2.393,-2.731,-3.019,-0.098,-2.182,15
2021-17주,18,3.349,-0.445,-0.672,-0.741,-0.086,1.432,2.483,-1.086,-5.971,10
2021-18주,6,-0.077,0.398,1.551,4.996,2.288,0.067,-1.98,1.199,16.199,20
2021-19주,14,-0.437,1.325,1.55,0.812,-1.051,-1.538,-0.501,0.386,1.483,2
2021-20주,7,-0.159,0.594,0.976,2.376,8.105,15.404,32.66,29.515,35.707,20
2021-21주,19,7.255,3.516,5.848,9.343,19.55,30.616,32.58,28.84,30.3,10
2021-22주,19,12.916,5.217,5.542,7.047,11.015,6.19,5.672,6.94,4.922,5
2021-23주,23,14.747,-2.601,-2.955,-3.308,-2.461,-1.572,-1.627,-0.007,0.541,20
2021-24주,8,-0.689,-2.456,-2.706,-2.852,-2.138,-2.826,-2.186,-2.699,0.427,20
2021-25주,9,0.776,0.011,0.327,-0.385,-0.214,0.305,0.179,1.259,3.189,20
2021-26주,7,7.479,-0.144,0.539,-1.829,-5.276,-4.683,-5.596,-6.069,-6.069,2
2021-27주,11,2.75,-2.054,-2.923,-3.861,-2.415,-2.131,-1.92,-0.791,-0.317,20
2021-28주,23,7.678,2.954,3.696,4.656,3.942,5.035,5.384,5.038,15.777,20
2021-29주,15,8.231,0.916,0.036,0.313,-0.036,-0.962,-1.158,1.8,0.088,15
2021-30주,6,9.627,-1.328,-1.473,-0.752,-3.319,-2.565,-2.492,-4.52,-4.52,3
2021-31주,5,0.542,-1.724,-4.585,-5.35,-5.6,-5.912,-5.787,-6.1,-6.1,1
2021-32주,17,7.195,-0.582,-0.567,-0.72,-3.407,-3.167,-3.168,-2.264,-3.973,2
2021-33주,4,0.14,-1.415,-1.367,-1.41,-1.366,0.05,0.791,0.801,-1.206,15
2021-34주,10,0.983,-0.547,-0.442,0.029,0.611,0.694,-0.81,-1.882,-1.98,7
2021-35주,12,2.639,-1.421,-1.952,-2.666,-3.493,-3.629,-3.977,-4.781,-3.916,1
2021-36주,7,1.87,2.733,4.73,5.968,5.56,6.996,4.086,4.459,4.033,7
2021-37주,14,5.621,-0.616,-0.577,-0.988,1.607,4.214,5.62,5.468,8.499,20
2021-39주,5,13.66,-0.729,1.468,0.722,0.338,-1.706,0.249,-1.048,-1.958,2
2021-41주,9,4.388,2.687,4.343,3.242,4.624,11.841,12.876,20.282,27.638,20
2021-42주,7,-0.34,1.941,2.898,3.242,3.887,5.244,13.948,14.107,13.488,15
2021-43주,9,1.89,-0.599,-2.357,-1.15,-0.106,-0.746,3.013,2.677,1.583,10
2021-44주,8,6.756,2.019,3.697,2.912,6.382,6.788,5.536,-0.132,-1.758,7
2021-45주,6,3.792,1.038,0.837,0.848,0.869,1.301,-1.969,-2.996,-2.996,7
2021-46주,21,6.716,1.212,0.829,0.793,1.81,1.707,0.811,4.866,5.054,20
2021-47주,11,15.777,-0.633,-2.246,-3.587,-2.923,-4.499,-2.544,-2.796,-2.333,1
2021-48주,3,18.86,-0.569,1.439,4.774,-2.229,-2.454,-1.994,0.026,-0.902,3
2021-49주,9,3.676,-1.098,-0.526,-0.698,-2.742,-2.31,-3.752,-2.04,-2.789,2
